time,price,bidVolume,askVolume
2026-07-16T02:20:00.000Z,29667.5,7,5
2026-07-16T02:20:00.000Z,29667.75,15,2
2026-07-16T02:20:00.000Z,29668,9,2
2026-07-16T02:20:00.000Z,29668.25,12,11
2026-07-16T02:20:00.000Z,29668.5,18,21
2026-07-16T02:20:00.000Z,29668.75,11,6
2026-07-16T02:20:00.000Z,29669,4,20
2026-07-16T02:20:00.000Z,29669.25,16,24
2026-07-16T02:20:00.000Z,29669.5,2,17
2026-07-16T02:20:00.000Z,29669.75,1,34
2026-07-16T02:20:00.000Z,29670,12,47
2026-07-16T02:20:00.000Z,29670.25,8,23
2026-07-16T02:20:00.000Z,29670.5,10,7
2026-07-16T02:20:00.000Z,29670.75,6,14
2026-07-16T02:20:00.000Z,29671,4,17
2026-07-16T02:20:00.000Z,29671.25,3,21
2026-07-16T02:20:00.000Z,29671.5,0,14
2026-07-16T02:21:00.000Z,29663.25,4,0
2026-07-16T02:21:00.000Z,29663.5,3,7
2026-07-16T02:21:00.000Z,29663.75,9,13
2026-07-16T02:21:00.000Z,29664,3,5
2026-07-16T02:21:00.000Z,29664.25,3,16
2026-07-16T02:21:00.000Z,29664.5,15,5
2026-07-16T02:21:00.000Z,29664.75,5,1
2026-07-16T02:21:00.000Z,29665,10,8
2026-07-16T02:21:00.000Z,29665.25,10,8
2026-07-16T02:21:00.000Z,29665.5,21,8
2026-07-16T02:21:00.000Z,29665.75,8,9
2026-07-16T02:21:00.000Z,29666,15,10
2026-07-16T02:21:00.000Z,29666.25,7,13
2026-07-16T02:21:00.000Z,29666.5,11,1
2026-07-16T02:21:00.000Z,29666.75,12,4
2026-07-16T02:21:00.000Z,29667,9,8
2026-07-16T02:21:00.000Z,29667.25,5,7
2026-07-16T02:21:00.000Z,29667.5,7,9
2026-07-16T02:21:00.000Z,29667.75,6,7
2026-07-16T02:21:00.000Z,29668,11,13
2026-07-16T02:21:00.000Z,29668.25,3,15
2026-07-16T02:21:00.000Z,29668.5,10,6
2026-07-16T02:21:00.000Z,29668.75,4,8
2026-07-16T02:21:00.000Z,29669,14,14
2026-07-16T02:21:00.000Z,29669.25,9,15
2026-07-16T02:21:00.000Z,29669.5,6,21
2026-07-16T02:21:00.000Z,29669.75,3,12
2026-07-16T02:21:00.000Z,29670,2,7
2026-07-16T02:21:00.000Z,29670.25,3,9
2026-07-16T02:21:00.000Z,29670.5,5,4
2026-07-16T02:21:00.000Z,29670.75,1,5
2026-07-16T02:22:00.000Z,29666.25,5,1
2026-07-16T02:22:00.000Z,29666.5,12,6
2026-07-16T02:22:00.000Z,29666.75,13,11
2026-07-16T02:22:00.000Z,29667,17,5
2026-07-16T02:22:00.000Z,29667.25,15,5
2026-07-16T02:22:00.000Z,29667.5,17,3
2026-07-16T02:22:00.000Z,29667.75,10,5
2026-07-16T02:22:00.000Z,29668,9,4
2026-07-16T02:22:00.000Z,29668.25,3,10
2026-07-16T02:22:00.000Z,29668.5,7,3
2026-07-16T02:22:00.000Z,29668.75,11,3
2026-07-16T02:22:00.000Z,29669,5,10
2026-07-16T02:22:00.000Z,29669.25,6,12
2026-07-16T02:22:00.000Z,29669.5,6,9
2026-07-16T02:22:00.000Z,29669.75,3,6
2026-07-16T02:22:00.000Z,29670,0,7
2026-07-16T02:22:00.000Z,29670.25,0,2
2026-07-16T02:22:00.000Z,29670.5,3,1
2026-07-16T02:22:00.000Z,29670.75,0,3
2026-07-16T02:22:00.000Z,29671,0,8
2026-07-16T02:22:00.000Z,29671.25,0,2
2026-07-16T02:22:00.000Z,29671.5,1,2
2026-07-16T02:22:00.000Z,29671.75,0,7
2026-07-16T02:22:00.000Z,29672,3,3
2026-07-16T02:22:00.000Z,29672.25,0,2
2026-07-16T02:22:00.000Z,29672.5,0,8
2026-07-16T02:22:00.000Z,29672.75,0,3
2026-07-16T02:22:00.000Z,29673,2,5
2026-07-16T02:22:00.000Z,29673.25,8,4
2026-07-16T02:22:00.000Z,29673.5,0,8
2026-07-16T02:22:00.000Z,29673.75,10,10
2026-07-16T02:22:00.000Z,29674,11,4
2026-07-16T02:22:00.000Z,29674.25,14,4
2026-07-16T02:22:00.000Z,29674.5,8,7
2026-07-16T02:22:00.000Z,29674.75,9,21
2026-07-16T02:22:00.000Z,29675,14,30
2026-07-16T02:22:00.000Z,29675.25,10,15
2026-07-16T02:22:00.000Z,29675.5,21,29
2026-07-16T02:22:00.000Z,29675.75,4,21
2026-07-16T02:22:00.000Z,29676,20,18
2026-07-16T02:22:00.000Z,29676.25,20,5
2026-07-16T02:22:00.000Z,29676.5,6,26
2026-07-16T02:22:00.000Z,29676.75,7,19
2026-07-16T02:22:00.000Z,29677,11,36
2026-07-16T02:22:00.000Z,29677.25,0,32
2026-07-16T02:22:00.000Z,29677.5,2,14
2026-07-16T02:22:00.000Z,29677.75,3,7
2026-07-16T02:22:00.000Z,29678,0,24
2026-07-16T02:22:00.000Z,29678.25,0,3
2026-07-16T02:22:00.000Z,29678.5,0,8
2026-07-16T02:23:00.000Z,29676.5,4,0
2026-07-16T02:23:00.000Z,29676.75,7,0
2026-07-16T02:23:00.000Z,29677,19,6
2026-07-16T02:23:00.000Z,29677.25,13,5
2026-07-16T02:23:00.000Z,29677.5,30,7
2026-07-16T02:23:00.000Z,29677.75,23,8
2026-07-16T02:23:00.000Z,29678,17,27
2026-07-16T02:23:00.000Z,29678.25,15,13
2026-07-16T02:23:00.000Z,29678.5,9,9
2026-07-16T02:23:00.000Z,29678.75,9,10
2026-07-16T02:23:00.000Z,29679,10,30
2026-07-16T02:23:00.000Z,29679.25,8,18
2026-07-16T02:23:00.000Z,29679.5,4,6
2026-07-16T02:23:00.000Z,29679.75,4,8
2026-07-16T02:23:00.000Z,29680,4,48
2026-07-16T02:23:00.000Z,29680.25,3,2
2026-07-16T02:23:00.000Z,29680.5,2,11
2026-07-16T02:23:00.000Z,29680.75,1,5
2026-07-16T02:23:00.000Z,29681,0,5
2026-07-16T02:23:00.000Z,29681.25,0,5
2026-07-16T02:23:00.000Z,29681.5,3,5
2026-07-16T02:23:00.000Z,29681.75,1,5
2026-07-16T02:23:00.000Z,29682,4,5
2026-07-16T02:23:00.000Z,29682.25,19,3
2026-07-16T02:23:00.000Z,29682.5,20,5
2026-07-16T02:23:00.000Z,29682.75,15,13
2026-07-16T02:23:00.000Z,29683,14,22
2026-07-16T02:23:00.000Z,29683.25,3,42
2026-07-16T02:23:00.000Z,29683.5,8,9
2026-07-16T02:23:00.000Z,29683.75,0,10
2026-07-16T02:23:00.000Z,29684,1,9
2026-07-16T02:23:00.000Z,29684.25,0,2
2026-07-16T02:23:00.000Z,29684.5,6,2
2026-07-16T02:23:00.000Z,29684.75,10,5
2026-07-16T02:23:00.000Z,29685,10,23
2026-07-16T02:23:00.000Z,29685.25,9,10
2026-07-16T02:23:00.000Z,29685.5,18,1
2026-07-16T02:23:00.000Z,29685.75,19,20
2026-07-16T02:23:00.000Z,29686,39,20
2026-07-16T02:23:00.000Z,29686.25,53,34
2026-07-16T02:23:00.000Z,29686.5,15,37
2026-07-16T02:23:00.000Z,29686.75,18,22
2026-07-16T02:23:00.000Z,29687,10,9
2026-07-16T02:23:00.000Z,29687.25,19,10
2026-07-16T02:23:00.000Z,29687.5,25,18
2026-07-16T02:23:00.000Z,29687.75,23,18
2026-07-16T02:23:00.000Z,29688,10,30
2026-07-16T02:23:00.000Z,29688.25,0,3
2026-07-16T02:23:00.000Z,29688.5,4,10
2026-07-16T02:23:00.000Z,29688.75,6,9
2026-07-16T02:23:00.000Z,29689,0,14
2026-07-16T02:23:00.000Z,29689.25,0,5
2026-07-16T02:24:00.000Z,29683.75,7,0
2026-07-16T02:24:00.000Z,29684,5,1
2026-07-16T02:24:00.000Z,29684.25,4,0
2026-07-16T02:24:00.000Z,29684.5,7,1
2026-07-16T02:24:00.000Z,29684.75,21,1
2026-07-16T02:24:00.000Z,29685,17,1
2026-07-16T02:24:00.000Z,29685.25,16,6
2026-07-16T02:24:00.000Z,29685.5,22,8
2026-07-16T02:24:00.000Z,29685.75,19,8
2026-07-16T02:24:00.000Z,29686,19,7
2026-07-16T02:24:00.000Z,29686.25,1,2
2026-07-16T02:24:00.000Z,29686.5,7,3
2026-07-16T02:24:00.000Z,29686.75,7,0
2026-07-16T02:24:00.000Z,29687,16,8
2026-07-16T02:24:00.000Z,29687.25,15,8
2026-07-16T02:24:00.000Z,29687.5,9,7
2026-07-16T02:24:00.000Z,29687.75,10,12
2026-07-16T02:24:00.000Z,29688,4,21
2026-07-16T02:24:00.000Z,29688.25,5,20
2026-07-16T02:24:00.000Z,29688.5,12,14
2026-07-16T02:24:00.000Z,29688.75,2,10
2026-07-16T02:24:00.000Z,29689,17,13
2026-07-16T02:24:00.000Z,29689.25,8,14
2026-07-16T02:24:00.000Z,29689.5,13,25
2026-07-16T02:24:00.000Z,29689.75,14,19
2026-07-16T02:24:00.000Z,29690,26,50
2026-07-16T02:24:00.000Z,29690.25,25,10
2026-07-16T02:24:00.000Z,29690.5,35,17
2026-07-16T02:24:00.000Z,29690.75,32,22
2026-07-16T02:24:00.000Z,29691,40,19
2026-07-16T02:24:00.000Z,29691.25,27,13
2026-07-16T02:24:00.000Z,29691.5,21,22
2026-07-16T02:24:00.000Z,29691.75,16,28
2026-07-16T02:24:00.000Z,29692,25,35
2026-07-16T02:24:00.000Z,29692.25,25,50
2026-07-16T02:24:00.000Z,29692.5,26,36
2026-07-16T02:24:00.000Z,29692.75,17,45
2026-07-16T02:24:00.000Z,29693,12,22
2026-07-16T02:24:00.000Z,29693.25,16,7
2026-07-16T02:24:00.000Z,29693.5,10,8
